# path address token reason
src/Battlesport/ai_net.h 0x401180 __asm ainet-vector user-approved AINET_VECTOR_SUBTRACT shared grouped-x87 helper plus address-local AINET_PATH_DOT_XZ and AINET_PATH_CROSS_XZ only; the generic subtraction macro has no standalone retail function and its identical fixed-register body is observed at 0x401180, 0x401580, 0x401710, 0x401c60, 0x402090, 0x402170, 0x402be0, 0x402d60, and 0x403620; minimal source-faithful helper snippets after C++ variants failed; 0x401710 differential review confirmed the shared subtract is the only assembly island required there and the ordinary C++ shell naturally emits its exact 608-byte body/table/padding contribution; no raw EBP offsets, naked code, _emit, .asm files, provider shims, linker/order dependence, or unrelated AINet functions.
src/Battlesport/ai_net.h 0x401420 __asm source-faithful-inline-asm ChatGPT-Pro-confirmed AINet forward-probe final vector-add helper; normal C++ emits surrounding normalize/scale/contact/tail code and VC5 byte evidence requires only this fixed-register x87 add macro.
src/Battlesport/ai_net.h 0x401580 __asm source-faithful-inline-asm shared AINET_VECTOR_SUBTRACT invocation only; ordinary C++ now emits the prefix, negative path, reverse-edge scan, direct calls, probe-fan binding, and compiler-owned shell, while the same generic recurring fixed-register x87 macro used by the other AINet vector-subtraction callers emits retail 0x40166f..0x401692; no address-specific duplicate subtraction body remains; the 2026-07-10 ChatGPT Pro differential review challenged the embedded bottom-tested-loop premise, ranked exact source-shaped loop forms, and required bounded one-axis probes; its first-ranked indefinite loop compiled unchanged, while its second-ranked pre-tested `while` naturally emitted the retail direct `jl` latch and zero mismatches; no scan or whole-function assembly, raw EBP/ESP offsets, naked code, _emit, .asm files, indirect calls, linker/order tricks, provider claims, source-owner acceptance, or tier claim.
src/Battlesport/ai_net.h 0x403620 __asm source-faithful-inline-asm AINET_PROBE_FAN_COMPUTE_SEGMENT_DELTA_KEEP_PTR, which only binds caller locals before invoking shared AINET_VECTOR_SUBTRACT, and AINET_PATH_PROBE_CLAMP_TRAVEL_VC5 only when expanded inside AINetPathProbeFan::InitFromSegment; preserve the segment-delta pointer and travel-clamp x87/control-flow shape after source-faithful C++ clamp/assignment variants were strength-reduced by VC5; the 2026-07-05 ChatGPT Pro x87/control-flow review advised C++ repeated-sqrt/ternary forms first, then a minimal helper island if VC5 continued strength-reducing the preserved delta pointer or spilling the live x87 minimum; the exact retail shape required the narrowly allowlisted segment-delta and travel-clamp islands, not later rotate-call or whole-function assembly; not general ai_net.h permission and does not authorize rotate-call assembly or any other address.
src/Battlesport/ai_net.cpp 0x403620 __asm source-faithful-inline-asm AINet path probe final pathWidth store; minimal VC5 inline asm after C++ assignment variants failed to byte-match the retail register/store order.
src/GameZRecoil/zMath/zmth.h 0x402f60 __asm source-faithful-inline-asm zMath Vec3Normalize x87 helper; minimal VC5 inline asm after C++ variants failed to preserve retail FPU stack and byte shape.
src/GameZRecoil/zGame/zgame_opt.c 0x4b3160 __asm cpu-probe CPUID vendor string read; documented CPU opcode probing exception.
src/GameZRecoil/zGame/zgame_opt.c 0x4b3160 _emit cpu-probe CPUID opcode emission for vendor string read; documented CPU opcode probing exception.
src/GameZRecoil/zSys/zsys.cpp 0x4b37f0 __declspec(naked) cpu-probe CPU BSF/QPC timing benchmark; documented zSys CPU probing exception.
src/GameZRecoil/zSys/zsys.cpp 0x4b37f0 __asm cpu-probe CPU BSF/QPC timing benchmark; documented zSys CPU probing exception.
src/GameZRecoil/zSys/zsys.cpp 0x4b37f0 _emit cpu-probe CPU BSF opcode emission for timing benchmark; documented zSys CPU probing exception.
src/GameZRecoil/zSys/zsys.cpp 0x4b38e0 __declspec(naked) cpu-probe CPU RDTSC/QPC timing benchmark; documented zSys CPU probing exception.
src/GameZRecoil/zSys/zsys.cpp 0x4b38e0 __asm cpu-probe CPU RDTSC/QPC timing benchmark; documented zSys CPU probing exception.
src/GameZRecoil/zSys/zsys.cpp 0x4b38e0 _emit cpu-probe CPU RDTSC opcode emission for timing benchmark; documented zSys CPU probing exception.
src/GameZRecoil/zSys/zsys.cpp 0x4b3b50 __declspec(naked) cpu-probe CMOS RTC/TSC CPU timing benchmark fallback; documented zSys CPU timing exception.
src/GameZRecoil/zSys/zsys.cpp 0x4b3b50 __asm cpu-probe CMOS RTC/TSC CPU timing benchmark fallback; documented zSys CPU timing exception.
src/GameZRecoil/zSys/zsys_cpu_asm.inl 0x4b3020 __asm cpu-probe CPUID leaf-1 MMX feature probe; documented zSys CPU probing exception.
