physical_id	logical_id	name	object_symbol	disposition	reason
recoil:function:0x404e80	recoil:logical-function:0x404e80:cobject-assert-valid	CObject::AssertValid	?AssertValid@CObject@@UBEXXZ	excluded	Provider member excluded.
recoil:function:0x404e80	recoil:logical-function:0x404e80:hud-layout-base-layout-pre-update	HudLayoutBase::LayoutPreUpdate	?LayoutPreUpdate@HudLayoutBase@@UAEXXZ	retained	Existing folded logical identity and source spelling preserved; historical original_name_status does not establish exact retail spelling in this naming audit.
recoil:function:0x404e80	recoil:logical-function:0x404e80:hud-layout-base-on-activated	HudLayoutBase::OnActivated	?OnActivated@HudLayoutBase@@UAEXXZ	retained	Existing folded logical identity and source spelling preserved; historical original_name_status does not establish exact retail spelling in this naming audit.
recoil:function:0x404e80	recoil:logical-function:0x404e80:hud-ui-element-hide-preview	HudUiElement::HidePreview	?HidePreview@HudUiElement@@UAEXXZ	retained	Existing folded logical identity and source spelling preserved; historical original_name_status does not establish exact retail spelling in this naming audit.
recoil:function:0x404e80	recoil:logical-function:0x404e80:hud-ui-element-on-activate	HudUiElement::OnActivate	?OnActivate@HudUiElement@@UAEXXZ	retained	Existing folded logical identity and source spelling preserved; historical original_name_status does not establish exact retail spelling in this naming audit.
recoil:function:0x404e80	recoil:logical-function:0x404e80:hud-ui-element-on-begin-capture	HudUiElement::OnBeginCapture	?OnBeginCapture@HudUiElement@@UAEXXZ	retained	Existing folded logical identity and source spelling preserved; historical original_name_status does not establish exact retail spelling in this naming audit.
recoil:function:0x404e80	recoil:logical-function:0x404e80:hud-ui-element-on-captured-primary-release	HudUiElement::OnCapturedPrimaryRelease	?OnCapturedPrimaryRelease@HudUiElement@@UAEXXZ	retained	Existing folded logical identity and source spelling preserved; historical original_name_status does not establish exact retail spelling in this naming audit.
recoil:function:0x404e80	recoil:logical-function:0x404e80:hud-ui-element-on-clear-binding	HudUiElement::OnClearBinding	?OnClearBinding@HudUiElement@@UAEXXZ	retained	Existing folded logical identity and source spelling preserved; historical original_name_status does not establish exact retail spelling in this naming audit.
recoil:function:0x404e80	recoil:logical-function:0x404e80:hud-ui-element-on-end-capture	HudUiElement::OnEndCapture	?OnEndCapture@HudUiElement@@UAEXXZ	retained	Existing folded logical identity and source spelling preserved; historical original_name_status does not establish exact retail spelling in this naming audit.
recoil:function:0x404e80	recoil:logical-function:0x404e80:hud-ui-element-on-hover-repeat	HudUiElement::OnHoverRepeat	?OnHoverRepeat@HudUiElement@@UAEXXZ	retained	Existing folded logical identity and source spelling preserved; historical original_name_status does not establish exact retail spelling in this naming audit.
recoil:function:0x404e80	recoil:logical-function:0x404e80:hud-ui-element-show-preview	HudUiElement::ShowPreview	?ShowPreview@HudUiElement@@UAEXXZ	retained	Existing folded logical identity and source spelling preserved; historical original_name_status does not establish exact retail spelling in this naming audit.
recoil:function:0x404e80	recoil:logical-function:0x404e80:hud-ui-zrd-widget-post-load-from-zrd	HudUiZrdWidget::PostLoadFromZrd	?PostLoadFromZrd@HudUiZrdWidget@@UAEXXZ	retained	Existing folded logical identity and source spelling preserved; historical original_name_status does not establish exact retail spelling in this naming audit.
recoil:function:0x404e80	recoil:logical-function:0x404e80:recoil-app-istate-on-deactivate	RecoilApp_IState::OnDeactivate	?OnDeactivate@RecoilApp_IState@@UAEXXZ	retained	Existing folded logical identity and source spelling preserved; historical original_name_status does not establish exact retail spelling in this naming audit.
recoil:function:0x404e80	recoil:logical-function:0x404e80:recoil-app-istate-on-enter	RecoilApp_IState::OnEnter	?OnEnter@RecoilApp_IState@@UAEXXZ	retained	Existing folded logical identity and source spelling preserved; historical original_name_status does not establish exact retail spelling in this naming audit.
recoil:function:0x404e80	recoil:logical-function:0x404e80:recoil-app-istate-on-exit	RecoilApp_IState::OnExit	?OnExit@RecoilApp_IState@@UAEXXZ	retained	Existing folded logical identity and source spelling preserved; historical original_name_status does not establish exact retail spelling in this naming audit.
recoil:function:0x404e80	recoil:logical-function:0x404e80:recoil-state-base-on-deactivate	RecoilStateBase::OnDeactivate	?OnDeactivate@RecoilStateBase@@UAEXXZ	retained	Existing folded logical identity and source spelling preserved; historical original_name_status does not establish exact retail spelling in this naming audit.
recoil:function:0x404e80	recoil:logical-function:0x404e80:recoil-state-base-on-enter	RecoilStateBase::OnEnter	?OnEnter@RecoilStateBase@@UAEXXZ	retained	Existing folded logical identity and source spelling preserved; historical original_name_status does not establish exact retail spelling in this naming audit.
recoil:function:0x404e80	recoil:logical-function:0x404e80:recoil-state-base-on-exit	RecoilStateBase::OnExit	?OnExit@RecoilStateBase@@UAEXXZ	retained	Existing folded logical identity and source spelling preserved; historical original_name_status does not establish exact retail spelling in this naming audit.
recoil:function:0x404e80	recoil:logical-function:0x404e80:recoil-state-dialog-host-on-enter	RecoilStateDialogHost::OnEnter	?OnEnter@RecoilStateDialogHost@@UAEXXZ	retained	Existing folded logical identity and source spelling preserved; historical original_name_status does not establish exact retail spelling in this naming audit.
recoil:function:0x404e80	recoil:logical-function:0x404e80:recoil-state-dialog-host-on-exit	RecoilStateDialogHost::OnExit	?OnExit@RecoilStateDialogHost@@UAEXXZ	retained	Existing folded logical identity and source spelling preserved; historical original_name_status does not establish exact retail spelling in this naming audit.
recoil:function:0x404e80	recoil:logical-function:0x404e80:zerror-report-old	zError::ReportOld	?ReportOld@zError@@YAXHPBDH0ZZ	retained	Existing folded logical identity and source spelling preserved; historical original_name_status does not establish exact retail spelling in this naming audit.
recoil:function:0x404e80	recoil:logical-function:0x404e80:zfmv-action-end	zFMV_Action::End	?End@zFMV_Action@@UAEXXZ	retained	Existing folded logical identity and source spelling preserved; historical original_name_status does not establish exact retail spelling in this naming audit.
recoil:function:0x407140	recoil:logical-function:0x407140:hud-ui-element-get-bounds-rect-or-null	HudUiElement::GetBoundsRectOrNull	?GetBoundsRectOrNull@HudUiElement@@UAEPAUHudUiRect@@XZ	retained	Existing folded logical identity and source spelling preserved; historical original_name_status does not establish exact retail spelling in this naming audit.
recoil:function:0x407140	recoil:logical-function:0x407140:hud-ui-numeric-text-input-commit-and-get-value	HudUiNumericTextInput::CommitAndGetValue	?CommitAndGetValue@HudUiNumericTextInput@@UAEHXZ	retained	Existing folded logical identity and source spelling preserved; historical original_name_status does not establish exact retail spelling in this naming audit.
recoil:function:0x407140	recoil:logical-function:0x407140:recoil-state-base-on-update-should-quit	RecoilStateBase::OnUpdateShouldQuit	?OnUpdateShouldQuit@RecoilStateBase@@UAEHXZ	retained	Existing folded logical identity and source spelling preserved; historical original_name_status does not establish exact retail spelling in this naming audit.
recoil:function:0x407150	recoil:logical-function:0x407150:cobject-dump	CObject::Dump	?Dump@CObject@@UBEXAAVCDumpContext@@@Z	excluded	Provider member excluded.
recoil:function:0x407150	recoil:logical-function:0x407150:cobject-serialize	CObject::Serialize	?Serialize@CObject@@UAEXAAVCArchive@@@Z	excluded	Provider member excluded.
recoil:function:0x407150	recoil:logical-function:0x407150:cwnd-do-data-exchange	CWnd::DoDataExchange	?DoDataExchange@CWnd@@MAEXPAVCDataExchange@@@Z	excluded	Provider member excluded.
recoil:function:0x407150	recoil:logical-function:0x407150:hud-ui-element-enable-word-wrap-with-rect	HudUiElement::EnableWordWrapWithRect	?EnableWordWrapWithRect@HudUiElement@@UAEXPBUHudUiRect@@@Z	retained	Existing folded logical identity and source spelling preserved; historical original_name_status does not establish exact retail spelling in this naming audit.
recoil:function:0x407150	recoil:logical-function:0x407150:hud-ui-element-on-update-idle	HudUiElement::OnUpdateIdle	?OnUpdateIdle@HudUiElement@@UAEXM@Z	retained	Existing folded logical identity and source spelling preserved; historical original_name_status does not establish exact retail spelling in this naming audit.
recoil:function:0x407150	recoil:logical-function:0x407150:recoil-app-istate-on-resume	RecoilApp_IState::OnResume	?OnResume@RecoilApp_IState@@UAEXH@Z	retained	Existing folded logical identity and source spelling preserved; historical original_name_status does not establish exact retail spelling in this naming audit.
recoil:function:0x407150	recoil:logical-function:0x407150:recoil-app-istate-on-suspend	RecoilApp_IState::OnSuspend	?OnSuspend@RecoilApp_IState@@UAEXH@Z	retained	Existing folded logical identity and source spelling preserved; historical original_name_status does not establish exact retail spelling in this naming audit.
recoil:function:0x407150	recoil:logical-function:0x407150:recoil-app-istate-on-wnd-activate	RecoilApp_IState::OnWndActivate	?OnWndActivate@RecoilApp_IState@@UAEXH@Z	retained	Existing folded logical identity and source spelling preserved; historical original_name_status does not establish exact retail spelling in this naming audit.
recoil:function:0x407150	recoil:logical-function:0x407150:recoil-state-base-on-resume	RecoilStateBase::OnResume	?OnResume@RecoilStateBase@@UAEXH@Z	retained	Existing folded logical identity and source spelling preserved; historical original_name_status does not establish exact retail spelling in this naming audit.
recoil:function:0x407150	recoil:logical-function:0x407150:recoil-state-base-on-suspend	RecoilStateBase::OnSuspend	?OnSuspend@RecoilStateBase@@UAEXH@Z	retained	Existing folded logical identity and source spelling preserved; historical original_name_status does not establish exact retail spelling in this naming audit.
recoil:function:0x407150	recoil:logical-function:0x407150:recoil-state-base-on-wnd-activate	RecoilStateBase::OnWndActivate	?OnWndActivate@RecoilStateBase@@UAEXH@Z	retained	Existing folded logical identity and source spelling preserved; historical original_name_status does not establish exact retail spelling in this naming audit.
recoil:function:0x407150	recoil:logical-function:0x407150:recoil-state-dialog-host-on-resume	RecoilStateDialogHost::OnResume	?OnResume@RecoilStateDialogHost@@UAEXH@Z	retained	Existing folded logical identity and source spelling preserved; historical original_name_status does not establish exact retail spelling in this naming audit.
recoil:function:0x407150	recoil:logical-function:0x407150:recoil-state-dialog-host-on-suspend	RecoilStateDialogHost::OnSuspend	?OnSuspend@RecoilStateDialogHost@@UAEXH@Z	retained	Existing folded logical identity and source spelling preserved; historical original_name_status does not establish exact retail spelling in this naming audit.
recoil:function:0x4076f0	recoil:logical-function:0x4076f0:hud-ui-text-input-on-accept	HudUiTextInput::OnAccept	?OnAccept@HudUiTextInput@@UAEXXZ	retained	Existing folded logical identity and source spelling preserved; historical original_name_status does not establish exact retail spelling in this naming audit.
recoil:function:0x4076f0	recoil:logical-function:0x4076f0:hud-ui-text-input-on-cancel	HudUiTextInput::OnCancel	?OnCancel@HudUiTextInput@@UAEXXZ	retained	Existing folded logical identity and source spelling preserved; historical original_name_status does not establish exact retail spelling in this naming audit.
recoil:function:0x4076f0	recoil:logical-function:0x4076f0:hud-ui-text-input-on-overflow	HudUiTextInput::OnOverflow	?OnOverflow@HudUiTextInput@@UAEXXZ	retained	Existing folded logical identity and source spelling preserved; historical original_name_status does not establish exact retail spelling in this naming audit.
recoil:function:0x4076f0	recoil:logical-function:0x4076f0:recoil-app-main-menu-prep-state-on-deactivate	RecoilApp_MainMenuPrepState::OnDeactivate	?OnDeactivate@RecoilApp_MainMenuPrepState@@UAEXXZ	retained	Existing folded logical identity and source spelling preserved; historical original_name_status does not establish exact retail spelling in this naming audit.
recoil:function:0x4076f0	recoil:logical-function:0x4076f0:zgame-return-only-stub	zGame::ReturnOnlyStub	?ReturnOnlyStub@zGame@@YAXXZ	retained	Existing folded logical identity and source spelling preserved; historical original_name_status does not establish exact retail spelling in this naming audit.
recoil:function:0x408f50	recoil:logical-function:0x408f50:recoil-state-controls-on-suspend	RecoilStateControls::OnSuspend	?OnSuspend@RecoilStateControls@@UAEXH@Z	retained	Existing folded logical identity and source spelling preserved; historical original_name_status does not establish exact retail spelling in this naming audit.
