old_name	name	source	shape	disposition	confidence	reason
CAboutDlg	CAboutDlg	src/Battlesport/about.h:15	class/interface	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
AINetPathProbeFan	AINetPathProbeFan	src/Battlesport/ai_net.h:14	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
AINetNode	AINetNode	src/Battlesport/ai_net.h:30	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
AINet	AINet	src/Battlesport/ai_net.h:60	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
AiNetLosFxFrame	AiNetLosFxFrame	src/Battlesport/ai_net.h:1553	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
AiNetLosCamLocals	AiNetLosCamLocals	src/Battlesport/ai_net.h:1751	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
AiNetLosCamFrame	AiNetLosCamFrame	src/Battlesport/ai_net.h:1755	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
AiNetLosCamFrameBeforeEdi	AiNetLosCamFrameBeforeEdi	src/Battlesport/ai_net.h:1763	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
AiNetLosCamFrame1	AiNetLosCamFrame1	src/Battlesport/ai_net.h:1768	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
AiNetLosCamFrame2	AiNetLosCamFrame2	src/Battlesport/ai_net.h:1769	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
AiNetLosCamFrame3	AiNetLosCamFrame3	src/Battlesport/ai_net.h:1770	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
AiNetLosCamFrame4	AiNetLosCamFrame4	src/Battlesport/ai_net.h:1771	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
AiPropertyDlg	AiPropertyDlg	src/Battlesport/ai_property_dlg.h:13	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
BriefingActionElementTarget	BriefingActionElementTarget	src/Battlesport/Briefing.cpp:30	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
BriefingActionHideElement	BriefingActionHideElement	src/Battlesport/Briefing.cpp:34	class/interface	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
BriefingActionShowElement	BriefingActionShowElement	src/Battlesport/Briefing.cpp:47	class/interface	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
BriefingActionFadeInElement	BriefingActionFadeInElement	src/Battlesport/Briefing.cpp:60	class/interface	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
BriefingActionSetPanelText	BriefingActionSetPanelText	src/Battlesport/Briefing.cpp:76	class/interface	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
BriefingActionSetWidgetImageTimed	BriefingActionSetWidgetImageTimed	src/Battlesport/Briefing.cpp:97	class/interface	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
BriefingActionPlaySample	BriefingActionPlaySample	src/Battlesport/Briefing.cpp:120	class/interface	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
BriefingActionDelayUntilProgress	BriefingActionDelayUntilProgress	src/Battlesport/Briefing.cpp:146	class/interface	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
BriefingAction	BriefingAction	src/Battlesport/Briefing.h:13	class/interface	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
Briefing_ActionQueue	CBriefingActionQueue	src/Battlesport/Briefing.h:22	class/interface	renamed	Same-engine default / inferred	Inferred class spelling: constructor/virtual evidence and documented class-prefix default; preserve class model.
HudUiBriefingLocatorPanel	HudUiBriefingLocatorPanel	src/Battlesport/Briefing.h:60	class/interface	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
HudUiBriefingObjectivePicture	HudUiBriefingObjectivePicture	src/Battlesport/Briefing.h:74	class/interface	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
HudUiBriefingTransportProgress	HudUiBriefingTransportProgress	src/Battlesport/Briefing.h:98	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
HudUiBriefingRuntime	HudUiBriefingRuntime	src/Battlesport/Briefing.h:107	class/interface	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
CZRecoilFrame	CZRecoilFrame	src/Battlesport/CZRecoilFrame.h:19	class/interface	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
