old_name	name	reason
AllocNodeFromFreeList	gwNodeNew	Recoil-confirmed leaf spelling from diagnostic string and referring function; current scope retained.
AppendBrowseRecordStatus3022_3025	AppendBrowseRecordStatus3022To3025	Inferred status-reporting role; To preserves the explicit numeric range instead of joining its endpoints.
AppendConnectStatus301E_3021	AppendConnectStatus301ETo3021	Inferred status-reporting role; To preserves the explicit numeric range instead of joining its endpoints.
AppendValueStatus302B_302C	AppendValueStatus302BTo302C	Inferred status-reporting role; To preserves the explicit numeric range instead of joining its endpoints.
ApplyPkt06_PlayerStateSnapshotToRow	ApplyPkt06PlayerStateSnapshotToRow	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
BindGroupList_AddCommandToGroup	BindGroupListAddCommandToGroup	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
BindGroupList_AddGroup	BindGroupListAddGroup	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
BindGroupList_Clear	BindGroupListClear	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
BindGroupList_GetCount	BindGroupListGetCount	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
BindGroupList_GetGroupCommandCount	BindGroupListGetGroupCommandCount	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
BindGroupList_GetGroupCommandId	BindGroupListGetGroupCommandId	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
BindGroupList_GetGroupTitle	BindGroupListGetGroupTitle	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
BindMapContext_Pop	BindMapContextPop	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
BindMapContext_Push	BindMapContextPush	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
BindMapCurrent_CopyCommandLabel	BindMapCurrentCopyCommandLabel	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
BindMapCurrent_CopyJoystickButtonName	BindMapCurrentCopyJoystickButtonName	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
BindMapCurrent_CopyMouseButtonName	BindMapCurrentCopyMouseButtonName	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
BindMapCurrent_FormatKeyComboName	BindMapCurrentFormatKeyComboName	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
BindMapCurrent_GetCommandByJoystickSlot	BindMapCurrentGetCommandByJoystickSlot	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
BindMapCurrent_GetCommandByMouseSlot	BindMapCurrentGetCommandByMouseSlot	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
BindMapCurrent_GetCommandByPrimaryKey	BindMapCurrentGetCommandByPrimaryKey	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
BindMapCurrent_GetCommandBySecondaryKey	BindMapCurrentGetCommandBySecondaryKey	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
BindMapCurrent_GetJoystickButtonSlot	BindMapCurrentGetJoystickButtonSlot	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
BindMapCurrent_GetMouseButtonSlot	BindMapCurrentGetMouseButtonSlot	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
BindMapCurrent_GetPrimaryKeyboardKey	BindMapCurrentGetPrimaryKeyboardKey	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
BindMapCurrent_GetSecondaryKeyboardKey	BindMapCurrentGetSecondaryKeyboardKey	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
BindMapCurrent_ResetAllBindings	BindMapCurrentResetAllBindings	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
BindMapCurrent_SetJoystickBinding	BindMapCurrentSetJoystickBinding	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
BindMapCurrent_SetMouseBinding	BindMapCurrentSetMouseBinding	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
BindMapCurrent_SetPrimaryKeyBinding	BindMapCurrentSetPrimaryKeyBinding	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
BindMapCurrent_SetSecondaryKeyBinding	BindMapCurrentSetSecondaryKeyBinding	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
BindMapOverlay_DeleteNodeList	BindMapOverlayDeleteNodeList	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
BindMapOverlay_DetachHead	BindMapOverlayDetachHead	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
BindMapSystem_Init	BindMapSystemInit	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
BindMapSystem_Shutdown	BindMapSystemShutdown	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
BindMap_AddDefaultBinding	BindMapAddDefaultBinding	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
BindMap_CopyJoystickButtonName	BindMapCopyJoystickButtonName	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
BindMap_CopyMouseButtonName	BindMapCopyMouseButtonName	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
BindMap_Current_ReadCommandInputState	BindMapCurrentReadCommandInputState	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
BindMap_Current_RebuildLookupIndices	BindMapCurrentRebuildLookupIndices	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
BindMap_Current_SetBindingRecord	BindMapCurrentSetBindingRecord	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
BindMap_Current_SetCommandCallback	BindMapCurrentSetCommandCallback	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
BindMap_FormatKeyComboName	BindMapFormatKeyComboName	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
BindMap_GetCommandHint	BindMapGetCommandHint	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
BindMap_GetCommandLabel	BindMapGetCommandLabel	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
BindMap_InitDefaultBindings	BindMapInitDefaultBindings	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
BindMap_InitDikKeyNameTable	BindMapInitDikKeyNameTable	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
BindMap_InitJoystickButtonNameTable	BindMapInitJoystickButtonNameTable	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
BindMap_InitMouseButtonNameTable	BindMapInitMouseButtonNameTable	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
BindMap_PackBindingCode	BindMapPackBindingCode	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
Briefing_ActionQueue	CBriefingActionQueue	Inferred class spelling: constructor/virtual evidence and documented class-prefix default; preserve class model.
BuildNodeToAncestorMatrix	gwNodeBuildNodeToAncestorMatrix	Recoil-confirmed leaf spelling from diagnostic string and referring function; current scope retained.
CachedDirectSound_GetCaps	CachedDirectSoundGetCaps	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
CameraSection_SetActiveCamera	CameraSectionSetActiveCamera	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
Command_ShowObjectivePickupInfo	CommandShowObjectivePickupInfo	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
Command_ToggleObjectivePanel	CommandToggleObjectivePanel	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
ConnectionPointContainer_Advise	ConnectionPointContainerAdvise	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
ConnectionPointContainer_Unadvise	ConnectionPointContainerUnadvise	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
Convexify	convexify	Recoil-confirmed leaf spelling from diagnostic string and referring function; current scope retained.
CopyAnimateNode_Unimplemented	CopyAnimateNode	Inferred from observed role and existing naming family; preserve code structure and ABI.
CopyLightNode_Unimplemented	CopyLightNode	Inferred from observed role and existing naming family; preserve code structure and ABI.
CopySequenceNode_Unimplemented	CopySequenceNode	Inferred from observed role and existing naming family; preserve code structure and ABI.
