symbol_id	address	old_name	name	disposition	confidence	reason	source
recoil:function:0x401000	0x401000	CAboutDlg::Constructor	CAboutDlg::CAboutDlg	renamed	Inferred	Synchronize current defining source name; descriptive reconstruction, not recovered original spelling.	src/Battlesport/about.cpp:11
recoil:function:0x401030	0x401030	CAboutDlg::GetMessageMap	CAboutDlg::GetMessageMap	retained	Inferred	Retain physical/compiler projection label; no unique attached defining function body in the source inventory.	
recoil:function:0x401060	0x401060	AINet::TickAiMode2TopLevel	AINet::TickAiMode2TopLevel	retained	Inferred	Retain physical/compiler projection label; no unique attached defining function body in the source inventory.	
recoil:function:0x401180	0x401180	AINet::TickAiMode2PathFollow	AINet::TickAiMode2PathFollow	retained	Inferred	Retain physical/compiler projection label; no unique attached defining function body in the source inventory.	
recoil:function:0x401420	0x401420	AINet::AiMode2ForwardProbeRequiresAutoTurn	AINet::AiMode2ForwardProbeRequiresAutoTurn	retained	Inferred	Retain physical/compiler projection label; no unique attached defining function body in the source inventory.	
recoil:function:0x401580	0x401580	AINet::AiAdvancePathCursorAndComputeTargetVec	AINet::AiAdvancePathCursorAndComputeTargetVec	retained	Inferred	Retain physical/compiler projection label; no unique attached defining function body in the source inventory.	
recoil:function:0x4016a0	0x4016a0	AINet::AiChooseNextPathBranchIndex	AINet::AiChooseNextPathBranchIndex	retained	Inferred	Retain physical/compiler projection label; no unique attached defining function body in the source inventory.	
recoil:function:0x401710	0x401710	AINet::TickAiMode2SteeringSubstate	AINet::TickAiMode2SteeringSubstate	retained	Inferred	Retain physical/compiler projection label; no unique attached defining function body in the source inventory.	
recoil:function:0x401970	0x401970	AINet::UpdateAiMode2MoveAndTurnTowardTarget	AINet::UpdateAiMode2MoveAndTurnTowardTarget	retained	Inferred	Retain physical/compiler projection label; no unique attached defining function body in the source inventory.	
recoil:function:0x401a40	0x401a40	AINet::TickAiMode2OffsetTargetSteering	AINet::TickAiMode2OffsetTargetSteering	retained	Inferred	Retain physical/compiler projection label; no unique attached defining function body in the source inventory.	
recoil:function:0x401ab0	0x401ab0	AINet::TickAiMode2DynamicOffsetTargetSteering	AINet::TickAiMode2DynamicOffsetTargetSteering	retained	Inferred	Retain physical/compiler projection label; no unique attached defining function body in the source inventory.	
recoil:function:0x401b20	0x401b20	AINet::AiTryEnterMode2AttackPursuitIfLineOfSight	AINet::AiTryEnterMode2AttackPursuitIfLineOfSight	retained	Inferred	Retain physical/compiler projection label; no unique attached defining function body in the source inventory.	
recoil:function:0x401c00	0x401c00	AINet::AiAlertAttackBuddies	AINet::AiAlertAttackBuddies	retained	Inferred	Retain physical/compiler projection label; no unique attached defining function body in the source inventory.	
recoil:function:0x401c60	0x401c60	AINet::AiEnterMode2SteeringPursuit	AINet::AiEnterMode2SteeringPursuit	retained	Inferred	Retain physical/compiler projection label; no unique attached defining function body in the source inventory.	
recoil:function:0x401d50	0x401d50	AINet::HasLineOfSightFromLocalPlayerFxOffset	AINet::HasLineOfSightFromLocalPlayerFxOffset	retained	Inferred	Retain physical/compiler projection label; no unique attached defining function body in the source inventory.	
recoil:function:0x401e50	0x401e50	AINet::HasLineOfSightFromCameraTarget	AINet::HasLineOfSightFromCameraTarget	retained	Inferred	Retain physical/compiler projection label; no unique attached defining function body in the source inventory.	
recoil:function:0x401f60	0x401f60	AINet::AiRebuildSyntheticPathToNodeIfFar	AINet::AiRebuildSyntheticPathToNodeIfFar	retained	Inferred	Retain physical/compiler projection label; no unique attached defining function body in the source inventory.	
recoil:function:0x402080	0x402080	AINet::AiRestoreSavedTopLevelState	AINet::AiRestoreSavedTopLevelState	retained	Inferred	Retain physical/compiler projection label; no unique attached defining function body in the source inventory.	
recoil:function:0x402090	0x402090	AINet::UpdateAiMode2TurnTowardPlayerNoThrottle	AINet::UpdateAiMode2TurnTowardPlayerNoThrottle	retained	Inferred	Retain physical/compiler projection label; no unique attached defining function body in the source inventory.	
recoil:function:0x402170	0x402170	AINet::UpdateAiMode2TurnInPlaceTowardPlayer	AINet::UpdateAiMode2TurnInPlaceTowardPlayer	retained	Inferred	Retain physical/compiler projection label; no unique attached defining function body in the source inventory.	
recoil:function:0x402250	0x402250	AINet::TickAiMode2AltGunAttackWindow	AINet::TickAiMode2AltGunAttackWindow	retained	Inferred	Retain physical/compiler projection label; no unique attached defining function body in the source inventory.	
recoil:function:0x4024a0	0x4024a0	AINet::SolveAltGunLeadTargetPoint	AINet::SolveAltGunLeadTargetPoint	retained	Inferred	Retain physical/compiler projection label; no unique attached defining function body in the source inventory.	
recoil:function:0x4026d0	0x4026d0	AINet::UpdateAiMode2MoveAndTurnTowardOffsetTarget	AINet::UpdateAiMode2MoveAndTurnTowardOffsetTarget	retained	Inferred	Retain reconstructed descriptive spelling; exact original spelling is not established.	src/Battlesport/ai_net.h:2331
recoil:function:0x4028c0	0x4028c0	AINet::UpdateAiMode2MoveAndTurnTowardDynamicOffsetTarget	AINet::UpdateAiMode2MoveAndTurnTowardDynamicOffsetTarget	retained	Inferred	Retain reconstructed descriptive spelling; exact original spelling is not established.	src/Battlesport/ai_net.h:2408
recoil:function:0x402b70	0x402b70	AINet::TickAiMode2TimedPathSteering	AINet::TickAiMode2TimedPathSteering	retained	Inferred	Retain physical/compiler projection label; no unique attached defining function body in the source inventory.	
recoil:function:0x402be0	0x402be0	AINet::AiSteerTowardPathNodeForward	AINet::AiSteerTowardPathNodeForward	retained	Inferred	Retain reconstructed descriptive spelling; exact original spelling is not established.	src/Battlesport/ai_net.h:2547
recoil:function:0x402d60	0x402d60	AINet::AiSteerTowardPathNodeReverse	AINet::AiSteerTowardPathNodeReverse	retained	Inferred	Retain reconstructed descriptive spelling; exact original spelling is not established.	src/Battlesport/ai_net.h:2619
recoil:function:0x402f10	0x402f10	AINet::AiFinalizeMode2State1ForAllPlayers	AINet::AiFinalizeMode2State1ForAllPlayers	retained	Inferred	Retain physical/compiler projection label; no unique attached defining function body in the source inventory.	
recoil:function:0x402f60	0x402f60	zMath::Vec3Normalize	zMath::Vec3Normalize	retained	Inferred	Retain reconstructed descriptive spelling; exact original spelling is not established.	src/GameZRecoil/zMath/zmth.h:24
recoil:function:0x402fd0	0x402fd0	AINet::LoadAllFromZrd	AINet::LoadAllFromZrd	retained	Inferred	Retain physical/compiler projection label; no unique attached defining function body in the source inventory.	
recoil:function:0x402ff0	0x402ff0	AINet::Alloc	AINet::Alloc	retained	Inferred	Retain reconstructed descriptive spelling; exact original spelling is not established.	src/Battlesport/ai_net.cpp:162
recoil:function:0x403040	0x403040	AINet::LoadFromZrd	AINet::LoadFromZrd	retained	Inferred	Retain reconstructed descriptive spelling; exact original spelling is not established.	src/Battlesport/ai_net.cpp:184
recoil:function:0x403510	0x403510	AINet::FindByNetId	AINet::FindByNetId	retained	Inferred	Retain reconstructed descriptive spelling; exact original spelling is not established.	src/Battlesport/ai_net.cpp:365
recoil:function:0x403530	0x403530	AINet::FindNodeByIndex	AINet::FindNodeByIndex	retained	Inferred	Retain reconstructed descriptive spelling; exact original spelling is not established.	src/Battlesport/ai_net.cpp:386
recoil:function:0x403550	0x403550	AINet::ResolveNeighborLinksAndBuildProbeFans	AINet::ResolveNeighborLinksAndBuildProbeFans	retained	Inferred	Retain reconstructed descriptive spelling; exact original spelling is not established.	src/Battlesport/ai_net.cpp:408
recoil:function:0x403620	0x403620	AINetPathProbeFan::InitFromSegment	AINetPathProbeFan::InitFromSegment	retained	Inferred	Retain physical/compiler projection label; no unique attached defining function body in the source inventory.	
