source	old_name	name	disposition	confidence	reason
src/WinMain.cpp:22	WinMain	WinMain	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/about.cpp:11	CAboutDlg::CAboutDlg	CAboutDlg::CAboutDlg	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/ai_net.cpp:149	AINet::LoadAllFromZrd	AINet::LoadAllFromZrd	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/ai_net.cpp:162	AINet::Alloc	AINet::Alloc	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/ai_net.cpp:184	AINet::LoadFromZrd	AINet::LoadFromZrd	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/ai_net.cpp:365	AINet::FindByNetId	AINet::FindByNetId	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/ai_net.cpp:386	AINet::FindNodeByIndex	AINet::FindNodeByIndex	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/ai_net.cpp:408	AINet::ResolveNeighborLinksAndBuildProbeFans	AINet::ResolveNeighborLinksAndBuildProbeFans	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/ai_net.cpp:455	AINetPathProbeFan::InitFromSegment	AINetPathProbeFan::InitFromSegment	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/ai_net.cpp:512	AINet::FindNearestNode	AINet::FindNearestNode	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/ai_net.cpp:553	AINet::BuildAiPeerRingsByAiNetId	AINet::BuildAiPeerRingsByAiNetId	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/ai_net.cpp:580	AINetNode::Free	AINetNode::Free	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/ai_net.cpp:604	AINet::Free	AINet::Free	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/ai_net.cpp:627	AINet::AiDiscardNegativeBranchPathNodes	AINet::AiDiscardNegativeBranchPathNodes	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/ai_net.cpp:650	AINet::FreeAll	AINet::FreeAll	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/ai_net.h:867	AINet::TickAiMode2TopLevel	AINet::TickAiMode2TopLevel	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/ai_net.h:949	AINet::TickAiMode2PathFollow	AINet::TickAiMode2PathFollow	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/ai_net.h:1065	AINet::AiMode2ForwardProbeRequiresAutoTurn	AINet::AiMode2ForwardProbeRequiresAutoTurn	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/ai_net.h:1123	AINet::AiAdvancePathCursorAndComputeTargetVec	AINet::AiAdvancePathCursorAndComputeTargetVec	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/ai_net.h:1193	AINet::AiChooseNextPathBranchIndex	AINet::AiChooseNextPathBranchIndex	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/ai_net.h:1234	AINet::TickAiMode2SteeringSubstate	AINet::TickAiMode2SteeringSubstate	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/ai_net.h:1337	AINet::UpdateAiMode2MoveAndTurnTowardTarget	AINet::UpdateAiMode2MoveAndTurnTowardTarget	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/ai_net.h:1367	AINet::TickAiMode2OffsetTargetSteering	AINet::TickAiMode2OffsetTargetSteering	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/ai_net.h:1403	AINet::TickAiMode2DynamicOffsetTargetSteering	AINet::TickAiMode2DynamicOffsetTargetSteering	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/ai_net.h:1439	AINet::AiTryEnterMode2AttackPursuitIfLineOfSight	AINet::AiTryEnterMode2AttackPursuitIfLineOfSight	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/ai_net.h:1476	AINet::AiAlertAttackBuddies	AINet::AiAlertAttackBuddies	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/ai_net.h:1501	AINet::AiEnterMode2SteeringPursuit	AINet::AiEnterMode2SteeringPursuit	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/ai_net.h:1588	__declspec	__declspec	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/ai_net.h:1693	AINet::HasLineOfSightFromLocalPlayerFxOffset	AINet::HasLineOfSightFromLocalPlayerFxOffset	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/ai_net.h:1795	__declspec	__declspec	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/ai_net.h:1905	AINet::HasLineOfSightFromCameraTarget	AINet::HasLineOfSightFromCameraTarget	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/ai_net.h:1965	AINet::AiRebuildSyntheticPathToNodeIfFar	AINet::AiRebuildSyntheticPathToNodeIfFar	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/ai_net.h:2004	AINet::AiRestoreSavedTopLevelState	AINet::AiRestoreSavedTopLevelState	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/ai_net.h:2017	AINet::UpdateAiMode2TurnTowardPlayerNoThrottle	AINet::UpdateAiMode2TurnTowardPlayerNoThrottle	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/ai_net.h:2063	AINet::UpdateAiMode2TurnInPlaceTowardPlayer	AINet::UpdateAiMode2TurnInPlaceTowardPlayer	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/ai_net.h:2108	AINet::TickAiMode2AltGunAttackWindow	AINet::TickAiMode2AltGunAttackWindow	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/ai_net.h:2219	AINet::SolveAltGunLeadTargetPoint	AINet::SolveAltGunLeadTargetPoint	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/ai_net.h:2331	AINet::UpdateAiMode2MoveAndTurnTowardOffsetTarget	AINet::UpdateAiMode2MoveAndTurnTowardOffsetTarget	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/ai_net.h:2408	AINet::UpdateAiMode2MoveAndTurnTowardDynamicOffsetTarget	AINet::UpdateAiMode2MoveAndTurnTowardDynamicOffsetTarget	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/ai_net.h:2507	AINet::TickAiMode2TimedPathSteering	AINet::TickAiMode2TimedPathSteering	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/ai_net.h:2547	AINet::AiSteerTowardPathNodeForward	AINet::AiSteerTowardPathNodeForward	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/ai_net.h:2619	AINet::AiSteerTowardPathNodeReverse	AINet::AiSteerTowardPathNodeReverse	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/ai_net.h:2684	AINet::AiFinalizeMode2State1ForAllPlayers	AINet::AiFinalizeMode2State1ForAllPlayers	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/Briefing.cpp:40	BriefingActionHideElement	BriefingActionHideElement	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
